date,geography,geography code,Rural Urban,Household Spaces: All categories: Household spaces; measures: Value,Household Spaces: Household spaces with at least one usual resident; measures: Value,Household Spaces: Household spaces with no usual residents; measures: Value
2011,BD20 8,BD20 8,Total,2481,2354,127
2011,BD20 9,BD20 9,Total,1809,1739,70
2011,BD21 1,BD21 1,Total,2626,2474,152
2011,BD21 2,BD21 2,Total,2424,2262,162
2011,BD21 3,BD21 3,Total,1265,1143,122
2011,BD21 4,BD21 4,Total,2991,2859,132
2011,BD21 5,BD21 5,Total,1317,1232,85
2011,BD22 0,BD22 0,Total,1997,1853,144
2011,BD22 6,BD22 6,Total,3295,3163,132
2011,BD22 7,BD22 7,Total,3928,3801,127
2011,BD22 8,BD22 8,Total,2092,1964,128
2011,BD22 9,BD22 9,Total,2003,1915,88
2011,BD23 1,BD23 1,Total,2826,2662,164
2011,BD23 2,BD23 2,Total,4028,3845,183
2011,BD23 3,BD23 3,Total,2053,1859,194
2011,BD23 4,BD23 4,Total,1714,1498,216
2011,BD23 5,BD23 5,Total,1984,1621,363
2011,BD23 6,BD23 6,Total,1857,1676,181
2011,BD24 0,BD24 0,Total,934,797,137
2011,BD24 9,BD24 9,Total,1769,1530,239
2011,BD3  0,BD3  0,Total,3437,3286,151
2011,BD3  7,BD3  7,Total,2226,2130,96
2011,BD3  8,BD3  8,Total,2675,2527,148
2011,BD3  9,BD3  9,Total,2018,1921,97
2011,BD4  0,BD4  0,Total,2881,2750,131
2011,BD4  6,BD4  6,Total,3004,2874,130
2011,BD4  7,BD4  7,Total,1926,1831,95
2011,BD4  8,BD4  8,Total,2943,2795,148
2011,BD4  9,BD4  9,Total,2393,2296,97
2011,BD5  0,BD5  0,Total,2788,2656,132
2011,BD5  7,BD5  7,Total,2006,1921,85
2011,BD5  8,BD5  8,Total,2742,2644,98
2011,BD5  9,BD5  9,Total,3558,3424,134
2011,BD6  1,BD6  1,Total,4231,4123,108
2011,BD6  2,BD6  2,Total,3104,3049,55
2011,BD6  3,BD6  3,Total,5315,5176,139
2011,BD7  1,BD7  1,Total,1664,1460,204
2011,BD7  2,BD7  2,Total,3555,3375,180
2011,BD7  3,BD7  3,Total,2932,2724,208
2011,BD7  4,BD7  4,Total,3429,3306,123
2011,BD8  0,BD8  0,Total,2971,2813,158
2011,BD8  7,BD8  7,Total,2305,2229,76
2011,BD8  8,BD8  8,Total,1761,1692,69
2011,BD8  9,BD8  9,Total,3095,2882,213
2011,BD9  4,BD9  4,Total,2724,2563,161
2011,BD9  5,BD9  5,Total,2874,2728,146
2011,BD9  6,BD9  6,Total,2995,2857,138
2011,BH1  1,BH1  1,Total,1673,1551,122
2011,BH1  2,BH1  2,Total,685,595,90
2011,BH1  3,BH1  3,Total,3960,3341,619
2011,BH1  4,BH1  4,Total,4621,4418,203
2011,BH10 4,BH10 4,Total,1794,1749,45
2011,BH10 5,BH10 5,Total,3072,2999,73
2011,BH10 6,BH10 6,Total,2159,2124,35
2011,BH10 7,BH10 7,Total,1785,1741,44
2011,BH11 8,BH11 8,Total,4222,4137,85
2011,BH11 9,BH11 9,Total,4468,4398,70
2011,BH12 1,BH12 1,Total,2891,2818,73
2011,BH12 2,BH12 2,Total,3489,3399,90
2011,BH12 3,BH12 3,Total,3519,3447,72
2011,BH12 4,BH12 4,Total,3540,3473,67
2011,BH12 5,BH12 5,Total,1693,1669,24
2011,BH13 6,BH13 6,Total,2677,2392,285
2011,BH13 7,BH13 7,Total,2546,1874,672
2011,BH14 0,BH14 0,Total,3231,3095,136
2011,BH14 8,BH14 8,Total,4781,4419,362
2011,BH14 9,BH14 9,Total,3124,3008,116
2011,BH15 1,BH15 1,Total,3544,3050,494
2011,BH15 2,BH15 2,Total,2753,2615,138
2011,BH15 3,BH15 3,Total,4799,4698,101
2011,BH15 4,BH15 4,Total,4365,4156,209
2011,BH16 5,BH16 5,Total,4606,4495,111
2011,BH16 6,BH16 6,Total,2152,2061,91
2011,BH17 7,BH17 7,Total,3892,3847,45
2011,BH17 8,BH17 8,Total,3049,3021,28
2011,BH17 9,BH17 9,Total,2715,2686,29
2011,BH18 8,BH18 8,Total,2088,2035,53
2011,BH18 9,BH18 9,Total,2576,2541,35
2011,BH19 1,BH19 1,Total,2656,2006,650
2011,BH19 2,BH19 2,Total,3160,2498,662
